50 yard cunt punt
a disgrace to the species
a face that only a mother could love
a few cans short of a six pack
a lowly grease monkey
a neurotic, under-achieving emotional retard
a piece of sputum, floating in the toilet bowl of life
a sad weasle of a man
a snore
a toad
a very rude man
a weasel
abomination
abydocomist
accident
acid freak
acid head
adjective
ahole
airhead
airy-fairy
alabama hot pocket
alcoholic
almy
alphabet head
alte makhsheyfe
alter cocker
alter trombenik
amateur
amoretz
anal impaler
anal retentive
analconda
analphabet
anarchist
ankle biter
ankle-biters
annoying little smeggy smegging smegger
anorak
antwacky
anus
ape
arse
arse wipe
arse licker
arsehole
arselicker
arsemonger
arsewipe
as much use as a chocolate fireguard
as much use as a chocolate teapot
as much use as a handbrake on a canoe
ass
ass clown
ass face
ass fuck
ass master
ass monkey
ass munch
ass up
ass-can
ass-end of spaceê
ass-hatt
ass-jabber
ass-kisser
ass-nugget
ass-pirate
ass-wipe
assbag
assbandit
assbanger
assbite
asscan
assclown
asscock
asscracker
asses
assface
assfuck-rear
assfucker
assful
assgoblin
asshat
asshead
asshole
assholery
asshopper
assjacker
asslick
asslicker
assmonkey
assmucus
assmunch
assmuncher
assnigger
asspirate
assshit
assshole
asssucker
asswad
asswipe
ate up with the dumb assê
attention whore
awa' n bile your head
axwound
baby arm
back 40
back-stabbing
backwoodsman
bad guy
bad news
bad seed
bad-ass
badussy
bag bitch
bag of shit
bagger
bait
bait out
baldy
balls
bamma
bampot
bananas
bandit
bang
bang hole
banged up
barbar
barf
barmy
basket case
bassa
bastard
bat fastard
bat-shit crazy
baw
beaner
beast
beastly
beat with the ugly stick
beat-up
beater
beavis
becky
bedswerver
beef curtain
beep face
beer shits
beeyatch
beginner
beheyme
beiber
bell end
bellend
berk
bescumber
bespawler
beta
beyotch
bfd
bfe
bia
biatch
bible thumper
biddy
biest
big dealê
big lig
big lug
big whoop
big, stupid, yellow idiot
bill o'reilly
bimbo
bint
biotch
bird-brain
bird-tray head
bisnitch
bisnotch
bitch
bitch ass
bitchass
bitchass mother fucker
bitches
bitchtits
bitchy
bite me
bite the pillow
bizatch
biznatch
biznitch
bizo
bizzo
blabbermouth
blah
blank-stick
blech
blivet
blivit
bloatware
blow chunks
blow job
blow me
blowjob
blubber gut
bludger
blue pill
blue waffle
blue-hair
blue/purple-haired
blumpkin
bobbymyseh
bobo
bobolyne
boed
bof
bofh
bog-bot from hell
bogeyman
bogus
bollocks
bollox
bonehead
boner
bonkers
boob
booby
booey
boof
boojee
bookworm
boondocks
boonies
boop
booshi
boot
boot-leg
bootlicker
boots
booty
boozer
bore shitless
bore stiff
bossy old trollop
bot brains
bottom feeder
bourgee
box of rocks
bozo
brain-fart
brainiac
brainless
brainy
breezy
brew
brick
bridezilla
brontosaurus
brotherfucker
brown-noser
brummie git
brutal
brutes
btfo
buck
buckle buffer
buckled
buckshot
budissy
buff
buffoon
bug-head
bugaboo
bugger
buggery
bugly
bull shit
bull stuff
bulloks
bullshit
bum around
bum fuck
bum rap
bum-fucker
bumblefuck
bumfuck
bumlick
bump
bumpkin
bun
bunch of tarts
buncombe
bunk
buns
bupkes
burbs
burn-out
burned out
burner
burnout
bush league
bushpig
bust a load
busted
busted-ass
butt
butt fuck
butt hugger
butt plug
butt ugly
butt-fuck
butt-fucking
butt-fugly
butt-head
butt-munch
butt-pirate
butter face
butter-pat head
butterface
butterhead
butters
buttfucka
buttfucker
butthead
cacafuego
cake
call girl
callboy
callgirl
camel
camel toe
camper
candy-ass
candy-assed
cannibal
captain bogbot
captain chloroform
captain paxo
captain sadness
captain smug git
captain whiskey dick
captain yawn
carpetmuncher
cathouse
cave man
celebutard
certifiable
chaavanist
chach
chank
chaot
chap
chauvi
chav
cheater
cheating, weaselly, low-life scum bucket
cheese eating surrender monkeys
cheese nug
cherries
chesticle
chew
chicken
chicken head
chicken hoe
chicken-shit
chickens
children fucker
chillbilly
chinc
chincy
chink
chintzy
choad
chochie
chode
chode monster
chode muffin
chooch
choot
chota bags
chowder head
chronic lag
chucklehead
chuffer
chump
cleveland steamer
clipe
clit
clit licker
clitface
clitfuck
clitty litter
clod
clown
clusterfuck
coccydynia
cock
cock master
cock pocket
cock snot
cock up
cock-juggling thunder cunt
cock-roach
cockalorum
cockass
cockbag
cockbite
cockboy
cockburger
cockface
cockfucker
cockhead
cockjockey
cockknoker
cockmaster
cockmongler
cockmongruel
cockmonkey
cockmuncher
cocknose
cocknugget
cockroach
cockshit
cocksmith
cocksmoke
cocksmoker
cocksniffer
cocksucker
cockwaffle
codger
coke whore
coky
coloring book
commander u-bend
commercial sex
commie
complete and total nutter
con merchant
con-man
con-men, cheats and swindlers
coochie
coochy
cool guy mcgee
coon
coot
cooter
corpulent
cottage
couch potato
cougar
country bumpkin
cow
coward
cowardly pile of smeg
coxo
coyote
coyote ugly
cra-cra
crack baby
crack head
crackass
cracked out
cracker
crank
crank whore
crap
crap-fest
crappy
craptacular
craptastic
cray
cray-cray
crazier than a run-over dog
crazier than a shit-house rat
craziness
crazy-pants
creep
creeper
creepy
cretin
crew
crim
criminole
crockadillapig
cronk
crotch fruit
cruddy little scudball
crumb bum
crummy
crunchy
crunk
crybaby
cuck
cuckoo
cuckoo for cocoa puffs
cuckservative
culture vulture
cum
cum chugger
cum dumpster
cum freak
cum guzzler
cum guzzling cock sucker
cumberworld
cumbubble
cumdump
cumdumpster
cumguzzler
cumjockey
cumjunkie
cumslut
cumtart
cunnie
cunnilingus
cunt
cunt face
cunt grabber
cunt head
cunt hole
cunt licker
cunt sucker
cunt-struck
cuntass
cuntbag
cuntface
cunthole
cuntlicker
cuntosaurus
cuntrag
cuntsicle
cuntslut
dact tuft of rectal pubic hair
daft as a bush
daft cow
dago
dalcop
damn
daywalker
dead from the neck up
dead git
dead rubber
deadshit
deathlord
debbie downer
deformed monsters
deggo
deliveranceville
demented tonka toy
derf
derr brain
desk monkey
desperado
devil
dew-beater
dick
dick face
dick hole
dick lick
dick smack
dick sucker
dick wad
dick-sneeze
dickass
dickbag
dickbeaters
dickface
dickfuck
dickfucker
dickhead
dickhole
dickjuice
dickmilk
dickmonger
dicks
dickslap
dicksucker
dicksucking
dicktickler
dickwad
dickweasel
dickweed
dickwod
dike
dildo
dill hole
dill weed
dim
dimp
dimwit
ding-a-ling
ding-head
dingbat
dinglebat
dingleberry breath
dingus
dink
dinky
dinosaur
dinosaur breath
dipshit
dipstick
dirtwad
dirty
disguesting packet
disgusting, pus-filled buboe
disgusting, rotting, fetid piece of congealed monkey vomit
dishwasher-breath
ditz
div
divvy
diz brain
dnb
do my head
do the pooch
do-do
doaty
dobber
doctor fruit loop
dodge
dodgy
doe
dog
dog food face
dog-faced
doggyknobber
dogshit
doiche
doink
dolt
dong
donkey
donkey-faced
doochbag
doofus
dookie
doorknocker
doosh
dope
dope fiend
dope monger
dope whore
doper
dorbel
dork
dork breath
dork slap
dormouse cheeks
dosser
double r
double-bagger
double-dealing, two-faced rat
doubly purdy
douche bag
douche bagel
douche canoe
douche dick
douche nozzle
douche-fag
douchebag
douchebaggette
douchenoggin
doucher
douchewaffle
doush
drag
drainer
drakula
drate-poke
dreamer
driggle-draggle
drinker
drongo
drop dead
drop in the bucket
dropkick
druggie
drunk
drunkard
duck
dufus
dulles
dullsville
dumass
dumb ass
dumb bunny
dumb-ass
dumb-head
dumbass
dumbfuck
dumbo
dumbshit
dummy
dump
dump truck
dumpy
dumshit
dunce
durge
dyke
e-tard
e-tarded
ead
east bumblefuck
east butt-fuck
east nowhere
eat a bitch
eat a dick
eat fur pie
eat hair pie
eat it
eat me
eat my shorts
eat shit
eat shit and die
eff off
egghead
egoist
el dirtball
el slobbo
el weirdo
enema bag
eraser head
erse like a bag o' washin
escort
eunuch
exhibitionist
eye broccoli
face like a skelped erse
face like a workman's bench
facialize
fag
fagbag
fagfucker
faggit
faggot
faggotcock
fagtard
fake
fanboi
fanboy
fanny
far out
farging icehole
fart
fart face
fart-knocker
fartknocker
fat boy
fat cat
fat, bearded git
fat, little human
fatal attraction
fatass
fatso
faygala
fecker
feedbag material
feist or fice
felch
fellatio
feltch
feminist
fence
feral
fercockt
ferger
fertummelt
fibber
fidiot
filf
filthy piece of distended rectum
fish
fist fuck
fixer
flake
flamer
flash harry
flibbertigibbet
flid
flipper
flk
floozie
floozy
fluck a duck
fluff
flyover country
foad
focker
fool
foolish, aged, blubbery fish
foozle
fop
fopdoodle
frankenstein
freak
freak-face
freaking
freaky
freaky-deaky
frenchify
frigid
fro
frog
from hunger
fruitcake
fubar
fubugly
fuck
fuck face
fuck for ol' glory
fuck head
fuck hole
fuck me in the ass with no vaseline
fuck nigga
fuck noggin
fuck nut
fuck off
fuck puppet
fuck stain
fuck stick
fuck up
fuck yo mama
fuck-bitch
fuckable
fuckass
fuckbag
fuckboy
fuckbrain
fuckbunny
fuckbutt
fuckbutter
fucke
fucked up
fucker
fuckersucker
fuckface
fuckhead
fuckhole
fuckin
fucking
fucking hell
fucking pussy
fucking‰Ê‰Ê‰Ê
fuckmeat
fucknut
fucknutt
fucko
fuckoff
fucks
fucksqueek
fuckstick
fucktard
fucktart
fucktoy
fuckup
fuckwad
fuckward
fuckwit
fuckwitt
fucunt
fudgepacker
fug
fugazi
fugly
fugmo
fun sponge
funk
funkdafied
funky
funky monkey
fustilarian
fustylugs
futhermucker
gammerstang
gang banger
gangbang
gangstar
gangster
gannet
gayass
gaybob
gaydo
gayfuck
gayfuckist
gaylord
gaytard
gaywad
geek monster
geekê
gerbil-face
get (one's) redwings
get a life
get bent
get brain
get some squish
get stuffed
get to fuck
ghastly maggot
ghettified
ghetto
ghetto bird
ghost
gigolo
gillie-wet-foot
gimboid
gimp
girlfriend experience
girly-girl
git
give scully
give the skeeves
give the wiggins
glass bottom boat
globalist
gmilf
gnarly
gnashgab
go fly a kite
go fuck
go fuck a
go fuck on
go jerk yourself
go make me a sandwich
go pear-shaped
go to hell
goalpost head
gobermouch
gobshite
goddamn
goddamnit
goit
gomer
gone to the dogs
gonif
goober
gooberhead
gooch
goocher
good from afar, far from goodê
good ol' boy
good old boy
gook
goon
goose
gooseberry
gorby
gorilla
gormless
gorp
gotard
grandad
granola
grasshopper
grease stain
griefer
gringo
grit
gritter
grizzly chicken
grobian
grody
grommet
gronk
grossly overweight
grouch
grub
grumpy
guam
guido
gumby
gump
gutless, spineless, gormless, direction-less, neurotic, under-achieving, snivelling,
gutter punk
gutter whore
gwenlyn
hack
hacked up
hackish
hackit
hadron-head
hairbag
hairy axe wound
half-ass
half-eaten lollipop head
halibut breath
ham flap
handjob
hard on
hard on the eyes
has-been
have a face fit for radio
have a face like a bag of hammers
have a face like a hatful of assholes
have a screw loose
hayseed
head case
heeb
heinous
hell
hell dog
hellacious
hemped up
herb
hick
hillbilly
himbo
hippie
hircismus
hit up from the chin up
hit with an ugly stick
ho-nasty
hobbledehoy
hockey whore
hodger
hoe
hoe stroll
hoebag
hog-wild
hogbeast
hogley
hoity-toity gonad-brained gimp
hok a chanik
hole digger
home boy
homer
homo
homo thug
homodumbshit
homosexual
homosexuality
honkey
hooch
hooch-head
hoochie
hood
hook
hooked
hooker
hooligan
hoopty
hoover
hop-head
horndog
horse fucker
horse shit
horse's petute
hose beast
hoser
hoss
hotbox
hotseplots
howlin
hugly
human biodiversity
humdrum
hump
humping
hussy
huzzie
hype
hyphy
hypocrite
idiot
idiot droid
idjet
ignoramus
impudent fool
insane in the membraneê
insufferable pratt
intercourse
irritating, awkward and unsightly
j-cat
jabroni
jabronie
jack hole
jack off
jack wagon
jack-ass
jackass
jacked up
jackhole
jackpine savage
jackwagon
jag-off
jag-wagon
jagoff
jakey
jammy goit
jank
jap
jecka
jenkem
jenny mccarthy
jerk
jerk off
jerk-ass
jerk-face
jerk-nut
jerkass
jerkwad
jigaboo
jizz
jobber
jobby
joke of a man
joker
jork
judas
jughead
jump the shark
jumped-up filofax
jumpoff
jungle bunny
junglebunny
junkey
junkie
junky
kadokhes
keep digging, watson
kelev
keyboard teeth
khamer
khazer
khazi-droid
khnyok
kholerye
kicking
kiddie
kiddie stroll
kife
kike
kishka
kiss (one's) ass
klazomaniac
klink
knob
knob head
knobhead
know-it-all
knuckle dragger
knuckle-nuts
knucklehead
knuckylbonyard
kooch
kook
kooky
kootch
kraut
kunt
kutta
kyke
lame
lame sauce
lame-ass
lame-o
lameass
larceny
lard face
lardass
larry
latchkey child
lavvy heid
law enforcement
lazy dog
lazy sod
leafy
learner
leasing-monger
leebo
lencho
lesbian
lesbo
lezzie
liar
libtard
lick it
lick my froth
lick my scroat
lickspittle
ligger
like a dog with two dicks
like ass
like ass pie
like death warmed over
like watching paint dry
limp dick
limpdick
little bleeder
little glob of tuberculatic spewtum
little worm
llama
loaf
loaf about
loaf around
lock in kop
loiter-sack
lol
lolita
lollard
loon
loony
looper
loopy
looser
lost the plot
lot lizard
lotterel
louse
lovely
lubberwort
lucky
lumpy
lunchin'
lunkhead
lurker
luzifer
macher
macho
mack daddy
macker
mad as a bag of ferrets
mad as a hatter
mad hatter
mad whack
madcap
mafflard
mafugly
maggot
mahfugly
man chowder
man-slut
mangy
mank
manky
manster
manwhore
marshmallow-ass
masculinist
masturbate
masturbation
mayn bobes tam
mcfagget
meat drapes
meat flap
meat-tenderiser head
mediocrement
meesa masheena
meeskait
megillah
melon
memes
merked
mess
messed
messed up
metal trash
mick
microphallus
middle of nowhere
milf
milksop
mimbo
mince
minge
mingebag
minger
minx
miss yo-yo knickers
missing link
mister fat bastard 2044
mister gazpacho
mister maturity
mister sad git
mister shouty
mister swankypants
mo fo
modo
mofo
mofugly
mole
molecule mind
moll
momo
momzer
mona bushpig
mondo bizarro
monet
money
monkey
monster
mooncalf
moran
more cuckoo than a clock
more cuckoo than a clock factory
moron
mothafucka
mothafuckin
mother fucker
mother trucker
motherfucker
motherfucking
motor-mouth
mouth breather
moyshe kapoyer
muck-spout
mucky pub
mud duck
mudpout
muff
muffdiver
mugly
mule head
multiculturalism
mumblecrust
mumpsimus
munchkin
mundane
munging
munter
muppet
murderer
mushroom
mutant
nafka
nappy
narrishkeit
nastafied
nasty
nauf
neanderthal
neckbeard
need a check up from the neck up
negaton
negro
neoreactionaries
nerd
nerdcore
nerdery
nerdgasm
nerdulent
nerdy
nerfhearder
newb
newbie
nickel-hydrate breath
nigaboo
nigga
nigger
niggers
niglet
nimrod
nincompoop
ninny
ninnyhammer
nitwit
nms
no biggie
no-good, disgusting bum
noid
non-linear
noob face
not batting on a full wicket
not mind safe
novelty condom-head
nucking futs
nugget
numb nut
numb-nuts
numbskull
nummah
numpt
numptie
numpty
nurd
nut
nut butter
nut job
nut sack
nuts
nutsack
nutso
nutter
nuttso
nutty
nyaff
obeast
obnoxious, trumped-up, farty little smeghead
odd duck
oddball
off the deep end
off the wall
oger
oil dick
old bag
old codger
old fart
old five fingers
old laundry chute nostrils
old man jenkins
old timer
omega mu
on crack
